feature_id,explanation
69,"Verbs indicating causation or result, often tied to positive outcomes like friendship or happiness."
70,"The word ""there"" in storytelling phrases following ""Once upon a time""."
71,Verbs describing habitual actions in daily routines.
73,"Relative pronouns (""that"" and ""who"") introducing clauses about helping or saving small animals."
75,"The token ""for"" preceding a duration or a first-time experience."
76,"The token ""wealthy"" describing affluence in characters or objects within narrative contexts."
77,"The token ""excited"" in narrative or descriptive contexts conveying heightened emotion or anticipation."
78,"The verb ""work"" in contexts emphasizing collaboration or effort."
79,"Common tokens starting sentences or clauses, often indicating narrative progression or description."
80,"The word ""just"" in casual or narrative contexts expressing immediacy, comparison, or emphasis."
81,"Tokens summarizing or concluding a narrative, often emphasizing resolution or emotional sentiment."
82,"The token ""It"" introducing an unexpected or notable object or event."
83,"The token ""every"" in repetitive daily activity descriptions."
84,"Adjectives describing physical traits, spatial relationships, or states of being distinct or remarkable."
85,"The article ""a"" before singular nouns in lists."
86,"Exclamatory phrases beginning with quotation marks and informal expressions like ""Wow"" or ""Hello""."
89,"The article ""a"" in phrases describing someone going for an activity outdoors."
90,Pronouns or temporal adverbs in storytelling contexts.
92,Verbs indicating discovery or connection involving small creatures or objects in narrative contexts.
94,"The token ""money"" in contexts related to earning, spending, or possessing it."
95,"The word ""far"" describing distant locations or people."
96,"The word ""mom"" in possessive contexts describing someone's actions or role."
97,"The article ""a"" in the phrase ""Once upon a time"" within storytelling contexts."
98,"The pronoun ""She"" at the beginning of a sentence describing actions or behaviors."
102,"Tokens in abstract or reflective contexts often paired with ""Once upon a time""."
103,"The token ""more"" in comparisons emphasizing increasing importance or intensity."
107,"The token ""named"" introducing a character's name in a narrative context."
108,Transition phrases introducing a new event or action in narrative storytelling.
109,"Tokens in dialogue conveying emotions or interpersonal relationships, often positive sentiment."
110,"The word ""to"" indicating purpose or intent in a phrase describing actions or goals."
111,"The token ""good"" in the phrase ""good friends"" describing a positive relationship."
114,"The token ""with"" linking an object to a described feature or content."
118,"The word ""bug"" referring to an insect in a narrative context."
119,"Words related to injury, sickness, or medical care in narrative contexts."
120,"The word ""ground"" following descriptions of objects lying or placed on it."
121,"The token ""drink"" in contexts describing objects or activities with emotional or descriptive adjectives."
122,"The word ""used"" followed by an explanation of a tool, method, or resource for accomplishing something."
123,Verbs describing joyful or recreational activity in narrative contexts.
126,"Verbs expressing desire or enjoyment, often involving the infinitive ""to."""
127,"The token ""y"" in text often associated with names or playful contexts."
128,"The possessive pronoun ""their"" in contexts referring to shared ownership or association."
130,"Adjectives describing physical traits paired with ""a"" or ""and""."
132,"Pronouns ""he"" or ""she"" starting a sentence, often describing actions or possessions."
134,"The token ""until"" in repetitive actions or sequences leading to a culmination or endpoint."
135,"The token ""w"" in words describing wagging or wiggling actions, often related to animal movement."
136,"The token ""day"" in the phrase ""One day,"" often introducing narrative events."
137,"The word ""where"" in contexts describing a specific location associated with an activity or possession."
138,Nouns denoting physical containers or spaces associated with ownership or description.
140,Periods following expressions of inability or failure in narrative contexts.
141,"The token ""shine"" or its conjugations in contexts describing light, brilliance, or visual radiance."
143,Singular nouns denoting a person in a professional or authoritative role.
144,"The comma after ""One day"" in storytelling contexts."
145,"The conjunction ""and"" linking two names in a narrative context."
146,"The token ""day"" in introductory sentences of a story describing an event or scenario."
148,"Titles like ""Mr."" and ""Mrs."" followed by a period or directly preceding a name."
150,"The adjective ""small"" describing a subject in narrative summaries."
151,"The comma following ""As"" in temporal clauses."
152,"The token ""One"" at the beginning of a sentence introducing a narrative or story."
156,"The preposition ""under"" describing the location of an object relative to another object."
157,"The word ""toy"" when indicating an object associated with a person or activity."
158,"The word ""have"" in contexts describing shared fun or enjoyment."
159,"Verbs or nouns tied to dynamic or imaginative actions, often depicting movement, creativity, or unusual scenarios."
161,"Tokens ""day"" and adjacent punctuation in narrative contexts marking time or event transitions."
162,"The word ""instead"" used to indicate a replacement or alternative action."
163,Tokens marking the start of a narrative or a significant event.
165,"Definite article ""the"" in aquatic contexts, particularly near mentions of oceans or seas."
167,"The word ""not"" expressing contrast or negation in character descriptions or emotional states."
168,"The word ""off"" in contexts of physical displacement or removal."
169,"The token ""up"" following directives to clean in domestic contexts."
170,"Names of characters, especially those with unique or playful phonetic structures."
172,"The token ""grandma"" in sentences describing visits to her house, farm, or garden."
173,"The token ""rain"" in contexts describing the beginning of a rain event."
174,"The verb ""enjoy"" in contexts describing pleasant or leisurely activities."
175,"The token ""anyone"" used in contexts of exclusion, restriction, or personal boundaries."
176,"Pronoun ""it"" following a description of sensory qualities related to an object, often food or physical sensations."
177,"The token ""sorry"" in contexts of apology or expressing regret."
178,Words leading to or indicating movement or interaction with an enclosed space.
179,Verbs indicating actions taken after forming an idea or making a discovery.
180,Positive actions or moments of shared enjoyment in dialogue-based text.
181,"The pronoun ""it"" used in contexts where a subject is being evaluated or described as fun or interesting."
182,"The word ""Later"" at the beginning of a temporal phrase describing events."
183,"Variations of the verb ""grow"" describing physical or metaphorical enlargement or transformation."
184,"Punctuation marks, primarily periods and commas, ending sentences or separating clauses in narrative contexts."
186,"Verbs describing actions or behaviors being negated, often preceded by ""did not"" or ""didn't""."
187,"Words ""a"" and ""all"" in contexts involving playing or games."
188,"The article ""a"" introducing a noun in a narrative context."
190,"The token ""doctor"" in contexts related to visiting or interacting with medical professionals."
191,Descriptions of objects or entities in imaginative or fantastical contexts.
192,"The preposition ""to"" following mentions of a friend coming or visiting."
194,"Words referring to television, specifically ""TV"" and ""television."""
198,"Modal verbs ""to"" and ""must"" indicating obligation or necessity in personal actions."
199,"The word ""to"" indicating purpose or intent before an action."
200,"The phrase ""goes on"" in narratives involving trips or adventures."
201,Positive narrative endings or phrases conveying resolution and happiness in storytelling contexts.
203,"The pronoun ""it"" when referring to an object being picked up."
205,"The conjunction ""and"" following expressions of happiness or positive emotion."
206,"Positive phrases about friendship, happiness, or playful activities often in narrative or summary contexts."
207,"The preposition ""in"" introducing a location or setting, often a forest, park, jungle, or town."
211,"Prepositions ""of"" following containers or quantities like bags, boxes, baskets, or sacks."
212,"The token ""of"" or ""the"" following ""All"" in descriptive or narrative contexts."
213,"The token ""bossy"" describing a character's personality in a narrative context."
215,"Tokens ""mom"" and ""parents"" in contexts describing outings or shared experiences."
216,"The token ""ie"" associated with the name ""Tweet"" in whimsical bird-related narratives."
217,"The token ""with"" preceding activities involving toys or objects in playful contexts."
218,"The token ""in"" or ""out"" within motion-related phrases, often involving jumping or hopping actions."
219,"The token ""each"" when used in the phrase ""each other"" indicating mutual interaction or connection."
220,"Words following ""Once upon a time"" in a narrative context often depicting descriptive or imaginative elements."
221,"Adjectives describing states or qualities, often contrasting or evoking emotional nuances."
222,"Pronouns following ""give(s)"" in the context of transferring or offering something."
223,"Pronouns introducing actions related to crafting or creating objects, often involving paper and glue."
224,"The token ""Conflict"" in text describing narrative or dialogue features."
225,Periods marking the end of a sentence or story.
227,"The verb ""get"" in contexts of obtaining or retrieving something."
228,"The token ""liked"" in sentences expressing personal preferences or hobbies."
229,"The token ""Value"" in contexts listing story features or moral attributes."
230,"The conjunction ""but"" following a mention of fear or being scared."
231,"Tokens ""laughed"" or ""laugh"" in contexts of joy, fun, or shared positive experiences."
232,"The token ""inside"" describing the contents of an enclosed space or object."
235,"Verbs ""act"" and ""stepped"" indicating deliberate or purposeful actions by individuals."
237,"The verb ""was"" in classic storytelling opening phrases."
238,"The verb ""reached"" describing physical or metaphorical movement toward a destination or object."
239,"The token ""ball"" when referring to physical play or interaction in a narrative context."
241,"The preposition ""in"" within contexts involving children or people in specific locations or situations."
243,"The contraction ""I'm"" indicating first-person present-tense expressions."
245,"The token ""Thank"" in expressions of gratitude within direct speech."
246,"The word ""was"" followed by an emotional state or reaction, often expressing excitement or happiness."
247,"The phrase ""tries to"" or ""tried to"" indicating an attempt at an action."
250,"The past-tense verb ""were"" in sentences describing shared activities involving family or close relationships."
251,"The adjective ""old"" describing people, objects, or entities in a narrative context."
253,"The word ""strange"" in contexts describing unusual observations or discoveries."
254,"The adjective ""special"" in contexts emphasizing unique or significant objects, gifts, or experiences."
255,"The token ""dress"" describing clothing, often paired with adjectives like ""pretty"" or ""new."""
257,"The word ""angry"" in contexts involving emotional reactions, especially from family members or interpersonal conflicts."
259,"The token ""understand"" in contexts emphasizing perception or comprehension, often paired with descriptive or sensory words."
261,"The word ""that"" following an intensifier like ""so"" indicating a consequence or result."
262,"The comma before ""and"" in lists of items."
264,"Words related to searching or inability to find, often in contexts of looking or hoping."
266,The comma directly following a name in quoted dialogue.
267,Nouns representing physical objects or concepts central to the scene or narrative.
268,"The verbs ""count"" or ""counted"" in contexts describing enumeration or tallying activities."
269,Pronouns or proper nouns receiving physical aggression or harm.
271,"Pronouns ""he"" or ""she"" used in causal or purpose clauses introduced by ""so."""
272,"The verb ""sing"" describing an action or hobby, often paired with ""love"" or ""loved."""
273,"The pronoun ""her"" when preceded by a verb indicating assistance or help."
276,"The word ""other"" used to describe groups or entities in relation to a primary subject."
277,"The token ""but is"" introducing a contrast in narrative involving a character or object."
280,"The word ""into"" following a verb describing breaking or splitting into smaller pieces."
281,"The word ""favorite"" describing a cherished item or preference in a personal or narrative context."
282,"The token ""so"" emphasizing intensity or degree in descriptions of emotions or qualities."
283,"Negations, primarily involving ""not"" and ""n't,"" often in contexts of absence, unavailability, or contrast."
287,"The conjunction ""and"" linking two sequential actions."
288,"The token ""around"" following ""looked"" in contexts describing a character's visual exploration."
290,"Proper nouns or unique identifiers denoting specific people, objects, or abstract concepts."
292,"The reassuring phrase ""Don't worry"" often followed by a personal name or term of endearment."
295,"Tokens related to foreshadowing in narratives, often tied to conflict or dramatic tension."
296,"The token ""that"" in questions explicitly asking for identification of an object or concept."
298,"The token ""of"" following mentions of drawing or depicting a picture."
299,"The token ""family"" in narratives introducing or describing a household or group in a specific setting."
300,"Names of animals or people, often following ""named"" or preceding a comma."
302,"The token ""today"" in contexts emphasizing immediacy or relevance to the present moment."
305,"The token ""years"" in the context of describing the age of a three-year-old child."
307,"The verb ""tried"" in contexts of attempting an action or solving a problem."
308,"The colon punctuation used in storytelling contexts, often introducing a narrative or dialogue."
309,Verbs denoting physical actions or movements involving objects or the body.
310,Question marks in dialogue expressing emotional or existential inquiry.
312,"The token ""to"" in the phrase ""didn't know what to do."""
313,Singular nouns paired with verbs or adjectives in casual or action-oriented contexts.
314,"Tokens in dialogue conveying emotional tension, moral implications, or foreshadowing in story contexts."
316,"The pronoun ""You"" in direct address or second-person statements."
317,"Words conveying sensory or emotional qualities, often in descriptive or subjective contexts."
319,Periods ending sentences with a subject expressing an emotion or moral reflection.
320,"The conjunction ""But"" introducing a transition following a positive or happy sentiment."
323,"The token ""kind"" describing a positive trait or behavior."
325,"The word ""that"" used to introduce a realization or lesson learned."
326,"Tokens related to ""star"" or ""stars"" in contexts of celestial phenomena or metaphorical descriptions."
327,"The phrase ""One day"" introducing a narrative or event in a story."
328,Verbs describing actions or decisions directly involving people or objects.
329,"The conjunction ""and"" linking two objects found or interacted with by a character."
336,"Tokens indicating explanations or assertions about the nature or state of something, often using ""is"" or ""'s""."
340,"The adjective ""lazy"" describing animals or people in narrative summaries."
341,"Verbs ""see"" or ""find"" describing sensory exploration or discovery."
342,"Verb ""knock"" in contexts involving physical action or destruction."
344,"Sentences about friendship, sharing, and positive interactions often involving animals or familial bonds."
346,"The token ""p"" in the word ""puddle,"" often following descriptors like ""big"" or ""dirty."""
348,"Common opening phrases in storytelling, such as ""Once upon a time"" and ""One day""."
349,Adjectives describing awe-inspiring or visually impressive entities.
351,"The adverb ""very"" intensifying an adjective or adverb."
353,"The article ""a"" before nouns in actions or descriptive contexts."
354,"The word ""when"" introducing a clause describing an event or discovery during an ongoing activity."
355,"The token ""Bad"" in contexts suggesting negative or unfavorable endings in narratives or dialogue."
356,"The verb ""gave"" indicating an act of transferring or gifting something."
358,"The verb ""loves"" in sentences expressing Lily's preferences or enjoyment of specific activities or items."
359,"The token ""than"" comparing two entities, often emphasizing a greater degree or intensity."
361,"The token ""."" concluding direct speech or statements in conversational contexts."
362,"Adjectives describing animal-like traits, especially ""hairy"" and ""furry""."
363,Emotion-related verbs or adjectives describing a character's reaction or state in a narrative.
366,"The word ""all"" in expressions emphasizing duration or extent."
368,"The word ""together"" describing shared actions or experiences."
369,Pronouns indicating a subject wanting or deciding to interact with an object in a story.
372,"The token ""cat"" when describing a specific cat with distinct traits or a name."
375,"The token ""Tom"" referring to a central character in narrative summaries."
376,"The verb ""do"" following ""didn't know what to"" in expressions of uncertainty or indecision."
377,"The word ""named"" introducing a character's name in a narrative context."
378,Adjectives describing emotional or physical states in dialogue contexts.
379,Period immediately following descriptions of outings with family members.
380,"Tokens in dialogue conveying conflict, moral dilemmas, or narrative twists."
383,"The word ""high"" describing vertical elevation, often in relation to nests or trees."
388,Common function words in sentences describing gifts or objects being received.
389,"The word ""fast,"" often in the phrase ""as fast as [subject] could."""
390,"The token ""was"" used in personal or emotional contexts, indicating a state or action."
391,"Verbs ""walk"" and ""walking"" describing physical movement in narrative contexts."
394,"The adjective ""big"" emphasizing size or impressiveness, often paired with descriptive qualities."
395,"The conjunction ""and"" following the word ""sad"" in emotionally expressive contexts."
396,"The adverb ""carefully"" describing deliberate or precise actions."
398,"The token ""something"" preceding an adjective and the word ""happened,"" often in surprising or unexpected contexts."
399,"The token ""through"" in contexts describing movement or traversal within a natural or scenic environment."
400,"The verbs ""makes"" or ""made"" in contexts of creation or forming relationships."
401,"The word ""many"" indicating a large quantity or variety in descriptive contexts."
402,"The token ""caught"" in contexts describing being apprehended or intercepted."
404,"The definite article ""The"" preceding nouns in descriptive sentences."
405,"The word ""explore"" in contexts expressing a love for adventure or discovering new places."
406,"The token ""water"" in contexts involving its utility or physical presence."
407,"The token ""three"" describing the age of a child in a narrative context."
409,"The preposition ""in"" following ""put it"" to indicate placement into something."
410,"The verb ""clean"" in contexts describing tidying or cleaning actions."
413,"The token ""about"" following verbs of communication like ""tells"" or ""told""."
414,"The token ""Moral"" in contexts discussing story elements or thematic values."
417,"The token ""again"" signaling repetition or return to a prior state or activity."
419,"The token ""to"" in imperative or directive statements following a verb of instruction or command."
420,"The token ""was"" after ""there"" introducing a description or situation."
421,"The token ""room"" when describing a personal or shared space in a domestic play context."
423,"The token ""asked"" in contexts involving dialogue or direct questioning."
424,Names of characters speaking in dialogue.
426,"The verb ""fix"" in contexts involving repair or resolution of problems."
427,"Adjectives describing color, texture, or aesthetic qualities of objects or animals."
429,"The conjunction ""and"" linking two actions, events, or descriptions in narrative contexts."
430,"The token ""named"" introducing a character, typically a boy, in narrative storytelling."
431,"The word ""seem"" used to indicate perception or appearance."
433,"The infinitive verb ""be"" in contexts emphasizing advice or learning a behavior."
434,"The token ""bike"" in contexts describing personal enjoyment or activities involving riding."
437,"The token ""Mom"" used in familial or narrative contexts."
441,"The word ""like"" used in similes or comparisons."
444,"The token ""from"" indicating a source or origin in spatial or temporal contexts."
447,"The word ""different"" emphasizing variation or contrast among objects or entities."
449,"Tokens related to climbing or moving upward, often involving ""the,"" ""to,"" or actions like ""went."""
453,"The verb ""fly"" describing birds or flight-related actions in a positive or natural context."
454,"Specific days of the week and ""noon"" in narrative contexts."
457,"The word ""the"" preceding a location or setting."
459,"Auxiliary verbs ""was"" and ""were"" in continuous tense or punctuation marking sentence endings like ""."" and ""!""."
460,"Pronouns combined with contractions of the verb ""to be"" expressing identity or existence."
461,"The token ""sc"" in words related to scooters or scary contexts."
462,"The contraction ""n't"" within a negative verb phrase."
465,"The preposition ""in"" describing spatial placement or movement, often paired with ""the air"" or ""the sky""."
466,"The token ""dinner"" in the context of being called or prepared for."
467,"The verb ""jumped"" describing a sudden physical action or movement."
468,"The token ""friends"" in the context of playing or interacting with companions."
469,"The token ""was"" describing a subject's emotional or physical state."
470,The comma preceding dialogue attribution in direct speech.
471,Exclamation mark used emphatically or preceding vivid descriptions.
474,Verbs describing motion or transfer involving an object or subject in dynamic scenarios.
477,"The adjectives ""hot"" and ""cold"" describing temperature in contexts related to weather, drinks, or seasonal activities."
479,"The token ""Dialogue"" indicating conversational or narrative parts of a story."
481,"Tokens related to keeping objects or people safe, often involving possession or protection."
484,"The verb ""see"" in contexts expressing curiosity or intent to observe or discover something."
485,"The indefinite article ""an"" before a descriptive adjective."
486,"The conjunction ""and"" linking sequential actions involving objects being placed or manipulated."
487,"The token ""before"" indicating a prior action or event in sequential contexts."
488,"The token ""heard"" in contexts of perceiving sounds or voices, often following ""Suddenly""."
489,"Body parts, especially facial features, highlighted during emotional or physical reactions."
490,"The word ""proud"" in contexts expressing positive sentiment or self-association."
491,"Tokens ""leash"" or ""cage"" referring to objects used to restrain or confine animals."
494,"Tokens ""to"" or ""place"" in contexts implying purpose or searching for something."
495,"Comma following ""Once upon a time"" in storytelling contexts."
496,"The word ""Sometimes"" indicating occasional or irregular actions or events."
500,"The pronoun ""She"" initiating a sentence describing actions or intentions of a female character."
501,"Pronouns ""it"" or ""he"" following ""how"" in questions or statements about feelings, actions, or conditions."
503,"Pronouns ""she"" or ""he"" in questions about permission or ability, often following ""asked""."
507,"The token ""sleep"" or ""asleep"" in contexts describing going to sleep or dreaming."
508,"The pronoun ""She"" referring to a young girl in a narrative context."
509,"The word ""school"" in contexts describing attendance or activities."
510,"The verb ""loved"" expressing a personal enjoyment or preference."
511,"Tokens in opening phrases of storytelling, especially ""Once upon a time"" and similar beginnings."
512,"Proper nouns, adjectives, and summary tokens often indicating emphasis or conclusion."
513,"The word ""careful"" in contexts emphasizing caution or attentiveness."
516,"The token ""great"" used as an adjective to describe something positively in narrative contexts."
518,"The verb ""build"" in contexts involving construction or creation, often with blocks or similar materials."
521,"The token ""sad"" describing an emotional state of a character in narrative text."
523,"The token ""if"" following a verb of asking or inquiry."
525,"The pronoun ""who"" introducing a relative clause describing a character's traits or actions."
527,"The first letter of a proper noun, often a character's name in a narrative context."
529,"The verb ""stay"" indicating a decision or requirement to remain in a specific location or situation."
530,"The adverb ""too"" indicating an excessive degree."
534,"The token ""mom"" when preceded by ""asked"" and followed by a comma or ""if""."
536,"Verbs or pronouns in narrative contexts indicating action, ability, or subject focus."
538,"The token ""out"" used in spatial or situational contexts."
542,"Possessive determiners (""my,"" ""his,"" ""her"") or definite articles (""the"") preceding specific nouns."
543,"The verb ""cry"" in contexts describing emotional distress or fear."
545,"The verb ""help"" in contexts of assisting someone or something."
548,"The word ""still"" when conveying persistence or continuity in the face of contrasting circumstances."
549,"The token ""Once"" at the beginning of a fairy tale or storytelling phrase."
551,"Verbs involving motion or interaction, particularly ""play"" and ""go to,"" in narrative contexts."
552,"The indefinite article ""a"" preceding descriptions of sounds or voices heard suddenly."
553,"The word ""around"" in contexts describing movement or flight."
554,Tokens representing physical objects or body parts in vivid or dynamic contexts.
556,"The phrase ""had an idea"" in narrative contexts, often introducing a character's thought or plan."
559,"The verb ""lived"" describing residence in specific contexts."
561,"The verb ""noticed"" indicating an observation or realization."
562,Tokens related to dialogue or twists in narrative context.
563,"Sentences expressing social interaction or emotional outcomes, often involving fun, friendship, or conflict resolution."
564,"The word ""replied"" in dialogue contexts."
566,"Tokens ""a"" or ""into"" in contexts of transformation or change."
567,"The period punctuation token following lists of objects, toys, or descriptive attributes."
568,"The verb ""saw"" used in past tense to describe observing something specific in a location-based context."
569,"The indefinite article ""a"" preceding a description of a notable or specific object."
571,"Adjectives describing qualities or characteristics, often paired with nouns in a whimsical or narrative context."
572,"The token ""Do"" at the start of a question inviting action or preference."
573,"Proper names, predominantly ""Tom,"" as subjects initiating actions or possessing attributes."
576,"The token ""rabbit"" when describing a character in narrative summaries."
579,"The adjective ""sweet"" describing taste or qualities in a positive context."
580,"The proper noun ""Lily"" in narrative contexts describing her actions or experiences."
581,"The word ""banana"" in contexts involving emotions or actions."
583,"The word ""which"" introducing a clause that elaborates or explains a preceding noun or action."
584,"Verbs describing accidental damage like ""breaks"" or ""knocks over""."
585,"The token ""Fore"" in contexts involving foreshadowing within narrative or dialogue."
586,"Content words with varied semantic meaning and emotional tone, often standalone or in descriptive contexts."
587,"Positive emotions like ""good"" or ""great"" following the verb ""felt"" or ""feels""."
588,"The pronoun ""They"" initiating a clause about mutual actions or emotions between multiple entities."
591,Concrete nouns representing distinct objects or phenomena in descriptive or narrative contexts.
596,"Singular nouns preceded by ""any other,"" emphasizing uniqueness or comparison."
599,"The token ""loud"" describing noises or sounds in dynamic or action-filled contexts."
600,"The token ""Bill"" in narrative contexts, often as a named character in summaries or stories."
601,"The token ""name"" introducing the proper name of a character in narrative text."
602,Words indicating progression or eventual arrival during movement or journey narratives.
603,"The word ""peach"" in contexts involving contrasting emotions or qualities."
606,Tokens of a period following descriptions of objects observed by subjects.
607,"The token ""What"" in direct speech, often initiating a question or exclamation."
608,"Adjectives describing qualities or states, often conveying length, brightness, fun, or other distinct characteristics."
609,"The verb ""go"" in contexts of personal intention or desire."
610,"The token ""thought"" describing internal reflection or consideration by a character."
611,"Variations of the verb ""keep"" in contexts implying persistence or continuation."
613,"Past tense verbs ""ran"" and ""run"" describing physical movement or action."
614,"The token ""vanish"" describing disappearance or absence in various contexts."
615,Articles and linking verbs in similes or imaginative scenarios.
616,"The token "","" following abstract concepts like moral value or foreshadowing in narratives with darker themes."
617,"The token ""noise"" describing an audible disturbance, often paired with adjectives like loud, strange, or mysterious."
618,"The token ""Why"" in direct speech questioning someone's actions, feelings, or state."
620,"Words related to lost personal belongings, especially toys."
622,"The verb ""left"" or ""leave"" indicating departure or abandonment in narrative contexts."
623,Nouns representing physical objects described with distinct attributes in a sentence.
626,"Polite requests or pleas using the word ""please"" in direct speech or dialogue."
627,"The token ""become"" in contexts describing the formation of friendships."
628,"Tokens emphasizing preference or quantity in a positive context, often related to food."
629,"The token ""birthday"" in contexts describing celebrations or upcoming events."
630,"Second-person possessive pronoun ""your"" in direct speech or descriptive contexts."
631,"Verbs indicating damage, loss, or mishap affecting a personal or favored item."
632,"The word ""sky"" in descriptions of weather, light, or atmospheric phenomena."
635,The period following descriptions of locations or settings.
636,"Verbs describing natural phenomena or actions in serene, outdoor contexts."
637,"Pronouns ""she"" or ""he"" following ""As"" in narrative contexts describing actions or experiences."
641,"The pronoun ""it"" referring to an object or concept central to the narrative."
642,"The token ""bunny"" in sentences describing its actions, thoughts, or interactions."
643,"The indefinite article ""a"" preceding a noun in narratives with encounters or actions."
644,Tokens related to moral lessons emphasizing helping others or seeking help.
645,"The token ""Ben"" in narrative summaries featuring paired characters in collaborative or situational activities."
649,"The verb ""having"" in phrases expressing enjoyment or fun."
650,"The token ""Lucy"" as a proper noun, often in direct speech or narrative contexts."
654,"The word ""tree"" described as big and central to a scene or interaction in nature."
656,"The token ""tw"" in the word ""twig,"" often within descriptive or narrative contexts."
659,Periods ending sentences in narrative contexts with transitions or actions immediately following.
661,"The token ""cr"" when preceding ""ay"" in the word ""crayon""."
662,"The token ""said"" preceding direct speech or a quotation."
663,"The adjective ""big"" used to describe a notable object or creature in storytelling contexts."
664,"Period following descriptions of enjoyable activities transitioning to ""One day""."
666,"The possessive pronoun ""my"" in narratives involving the character Tim."
672,"The phrase ""of"" in the context of collaborative assistance or help."
674,"The verb ""fix"" in contexts involving repair or restoration actions."
676,"Tokens for animals or children introduced as characters in a story, often following ""meets a""."
677,"The token ""Tim"" as the central subject in narrative summaries or descriptions of his actions."
678,"The token ""car"" when referring to a specific vehicle, often described as red or big."
679,"The token ""barn"" describing a physical structure often central to a rural or farm-related context."
680,"The word ""how"" in contexts describing learning or being taught a skill or task."
684,"The verb ""smiled"" following a subject in a narrative context."
685,"The token ""two"" in fairy-tale-like introductions describing pairs of characters or entities."
686,"The token ""store"" in the context of characters going to a location to shop or accompany someone."
688,Adjectives describing physical attributes or qualities in a precise or specific context.
690,"The preposition ""In"" at the beginning of a phrase describing a specific location or context."
691,"The preposition ""of"" linking a noun to another noun or descriptive phrase."
693,Words or phrases conveying movement or perspective related to a journey or exploration.
694,"Adjective ""great"" emphasizing positive qualities or characteristics."
695,"The token ""first"" when denoting initial experiences or sequences."
696,"The token ""bed"" referring to a physical object for sleeping or resting."
697,"The tokens ""is"" or ""was"" following ""what"" in questions or indirect speech."
698,"Comma following verbs related to action, movement, or change."
699,"The token ""wait"" or ""waited"" referring to a delay or anticipation for an event or outcome."
700,"The token ""at"" indicating a location or time context."
702,"Verbs and prepositions related to actions or tasks, often involving helping or doing something."
703,"The token ""accidentally"" in contexts describing unintentional mishaps or mistakes."
704,"The word ""fish"" in narratives describing small or named aquatic characters."
705,Tokens indicating compassionate actions or intentions to help in storytelling contexts.
707,"""day"" or ""toys"" in storytelling contexts involving activities or discoveries."
710,"The word ""even"" emphasizing contrast or unexpected continuation in a scenario."
711,"The pronoun ""he"" referring to a male character performing actions or reacting in narrative contexts."
712,The period token concluding sentences in narrative or descriptive contexts.
716,"The word ""to"" following ""started"" in phrases describing a subsequent action or emotional response."
717,"The adjective ""small"" describing size in narrative contexts."
721,"The adverb ""always"" in contexts describing consistent habits, behaviors, or traits."
723,"The pronoun ""I"" in direct speech or dialogue."
724,"The word ""filled"" describing something containing various items or features."
726,Female names in narrative or summary contexts.
