feature_id,explanation
86,"The verb ""hurt"" in past tense when describing an injury after falling."
87,"The word ""magic"" describing enchanted objects or creatures in fantastical or imaginative contexts."
88,"Singular noun ""thing"" in contexts emphasizing personal value or preference."
89,"The token ""money"" in contexts involving earning or spending resources."
90,"The token ""there"" in introductory phrases of storytelling, often following ""Once""."
91,"The word ""colors"" when associated with abundance or variety in descriptive contexts."
92,"The pronoun ""her"" in phrases expressing positive emotions or outcomes."
93,"The token ""bag"" referring to a physical object, often containing items."
94,"The token ""snow"" in sentences describing snowy weather, activities, or sudden snow-related events."
95,Coordinating conjunctions and proper nouns in casual narrative contexts.
96,"The verb ""become"" or ""became"" when describing the formation of friendships."
97,"The word ""loved"" describing enjoyment of activities or experiences."
98,"The token ""place"" when describing a location that is safe, cozy, cool, special, secret, or favorite."
99,Verbs related to physical jumping actions or attempts to jump.
100,"The token ""warning"" in phrases involving parental advice or caution being followed or ignored."
101,"The token ""off"" following verbs describing falling or dismounting actions."
102,"The token ""nest"" referring to a bird's dwelling or nesting activity."
103,"The word ""candy"" in contexts related to eating or craving sweets."
104,"The auxiliary verb ""to"" indicating obligation or necessity in past or present contexts."
105,"The token ""right"" preceding directional or immediate actions."
106,A comma following a named character introduction in a descriptive clause.
107,"The token ""me"" in contexts of meadows or cats meowing."
108,"The indefinite article ""a"" when introducing a noun phrase after ""had""."
109,"The token ""jeep"" when used in narrative or descriptive contexts."
110,"Words expressing conflict, possession, or degradation in narrative contexts."
111,"The conjunction ""and"" linking playful or enjoyable activities."
112,"The word ""are"" in direct questions starting with ""Why""."
113,Action verbs involving playful or collaborative activities.
114,"Coordinating conjunctions and prepositions connecting events or actions, often involving problem-solving or reassurance."
115,"Adjectives describing behavior or personality, specifically ""naughty"" and ""bossy""."
116,"The token ""car"" describing a vehicle in possessive or descriptive contexts."
117,"The token ""PL"" within the word ""DEPLOYMENT""."
118,"The word ""the"" preceding a location, especially a park or market."
119,"The verb ""set"" when used in expressions indicating initiating an action or arrangement."
120,"The token ""want"" or ""wanted"" in casual invitations or inquiries about engaging in activities."
121,"The token ""good"" describing positive attributes, qualities, or states of people or actions."
122,"The token ""Why"" at the start of a quoted question."
123,"The token ""cream"" following ""ice"" in contexts describing enjoyment or possession."
124,"The token ""pointed"" or ""point"" in contexts of indicating or directing attention to something specific."
125,"The verb ""discovers"" in contexts of uncovering or encountering something surprising or mysterious."
126,"The adjectives ""big"" and ""little"" when describing objects or individuals in a narrative context."
127,"The token ""dad"" referring to someone's father in possessive or descriptive contexts."
128,"The token ""L"" in dialogue directly addressing someone named Lily."
129,"Variants of the verb ""win"" in contexts of competition or achievement."
130,"The verb ""ignores"" or its variants in contexts of defiance or disregarding warnings or advice."
131,"The adjective ""tall"" describing height in various contexts."
132,Verbs indicating arrival or the act of reaching a destination.
133,"Tokens ""the"" and ""a"" after ""from"" indicating a source of an object or location in a sentence."
134,"The token ""warm"" in contexts implying comfort, coziness, or a pleasant environment."
135,"The adjective ""beautiful"" describing something aesthetically pleasing or positive in context."
136,"The word ""in"" following descriptions of a hole or cavity."
137,"The verb ""found"" in contexts of discovery or realization."
138,"The word ""All"" when used to introduce a collective group in descriptive or narrative contexts."
139,"The word ""sour"" in contexts involving sensory experiences, items, or descriptive imagery."
140,"The token ""Can"" in direct speech, often introducing a question or request."
141,"The word ""friends"" describing relationships between named individuals."
142,"Verbs expressing decision-making, desire, or persuasion in narrative contexts."
143,"The preposition ""by"" introducing a method or action in a cause-effect relationship."
144,Periods ending sentences introducing dialogue or character actions.
145,"The article ""a"" introducing a small or modest location or object in a narrative context."
146,"The verb ""started"" followed by an infinitive describing an action or change."
147,"Pronouns ""her,"" ""him,"" or ""them"" following a subject who ""saw"" them in an emotional or active context."
148,"The token ""I"" in direct, emotionally charged expressions of anger or hate."
149,"The conjunction ""and"" linking two subjects or entities in narrative summaries."
150,"Tokens ""to,"" ""her,"" ""play,"" and ""went"" in narrative contexts indicating movement, action, or interpersonal interaction."
151,"The phrase ""down the"" in contexts describing movement along streets or roads."
152,Tokens conveying narrative structure or teaching moments in positive storytelling contexts.
153,Adjectives describing emotional states or qualities in storytelling contexts.
154,"The verb ""join"" in contexts of social inclusion or group activities."
155,"The token ""important"" emphasizing moral values, priorities, or meaningful qualities in narrative or dialogue contexts."
156,"The contraction ""it's"" or ""he's"" in contexts conveying realization, advice, or emotional expression."
157,"The indefinite article ""a"" in sentences describing interactions between animals."
158,"Prepositions indicating spatial or positional relationships, especially ""in,"" ""on,"" and ""from."""
159,"The pronoun ""it"" used as a subject in explanatory or reflective sentences."
160,"The token ""name"" introducing a character or object in a narrative context."
161,"The word ""because"" explaining causal relationships in sentences with emotional or situational context."
162,"Nouns describing a specific, idyllic or whimsical entity, often in imaginative or fantastical contexts."
163,"The token ""always"" in sentences describing habitual actions or consistent behaviors."
164,Tokens representing closing quotes after a declarative or emotional statement.
165,"The adjective ""fast"" describing speed or quickness in various contexts."
166,"Past-tense verbs following ""had,"" indicating completed actions."
167,"Activates on ""bat"" and ""brush"" in contexts implying descriptive or narrative focus."
168,"The affirmative token ""Yes"" in direct speech or dialogue."
169,"The token ""to"" following the word ""excited"" in expressions of eagerness or anticipation."
170,"The token ""ATE"" in uppercase within a repeated phrase expressing hostility."
171,"The token ""value"" in contexts emphasizing moral lessons or personal growth."
172,"The preposition ""in"" introducing a spatial or situational context."
173,"The token ""o"" in names followed by descriptors or actions in summary text."
174,"The token ""before"" in contexts indicating actions preceding another event or activity."
175,"The token ""despite"" indicating contrast or overcoming challenges."
176,"The preposition ""to"" following verbs related to listening or paying attention."
177,Personal pronouns or names introducing a subject performing actions or expressing emotions.
178,"The verb ""was"" in sentences describing a subject's state, traits, or actions."
179,"The verb ""took"" in narrative contexts describing actions involving objects or people."
180,"The token ""please"" used in polite requests or expressions of desire."
181,"The word ""tail"" in contexts describing wagging or physical characteristics of animals."
182,"Prepositions ""on"" or ""in"" introducing a phrase describing a location or time."
183,"The token ""Sarah"" when used as a proper noun in narrative contexts."
184,"The phrase ""find out"" in contexts of discovering information or uncovering something."
185,"Tokens referring to ""doll"" or ""dolls"" in the context of personal or narrative descriptions."
186,Words describing appetizing food or meals.
187,"Common conjunctions, verbs, or punctuation in narrative contexts conveying actions or transitions."
188,"The token ""the"" preceding a named animal character in a narrative context."
189,"The contraction ""couldn’t"" expressing inability or impossibility."
190,"The word ""both"" in sentences describing mutual actions or shared experiences."
191,"The verb ""keep"" in contexts of maintaining or safeguarding something."
192,"Verbs ""build"" or ""built"" in contexts describing collaborative or constructive activities."
193,"Tokens describing weather changes or conditions, often involving transitions or contrasts."
194,"The token ""yard"" in contexts describing outdoor play or activities."
195,"Tokens in positive contexts describing improvement, success, or memorable qualities."
196,"The token ""Mia,"" likely as a proper noun referring to a character in narratives."
197,"The token ""quiet"" in contexts describing calmness or stillness, often paired with abstract or moral themes."
198,"The verb ""gets"" in contexts describing actions or experiences."
199,"The token ""park"" when preceded by ""to the"" in contexts describing a visit or activity."
200,"The word ""especially"" emphasizing a preference or highlighting a specific example."
201,"The definite article ""the"" in narrative contexts introducing a subject or object."
202,"Prepositions indicating movement or time, such as ""into"" and ""during""."
203,"Pronouns referencing shared items or actions in a positive, cooperative context."
204,"The token ""another"" indicating a subsequent or alternative entity in narratives."
205,"The proper noun ""Tim"" in narrative contexts involving actions or descriptions."
206,"The token ""Spot"" used as the name of a dog in narrative contexts."
207,"The token ""toy"" referring to physical playthings or objects for amusement."
208,"Tokens related to wealth, royalty, or beauty in narrative contexts."
209,"The word ""provide"" in contexts suggesting offering or enabling something."
210,"Pronouns ""she"" or ""he"" preceding a verb describing speech or action."
211,"The name ""Jack"" in narrative contexts involving interactions or relationships."
212,"The verb ""fix"" in contexts describing repair or restoration."
213,"The verb ""invite"" or its conjugations in sentences involving social gatherings or inviting others to join activities."
214,"Common grammatical words like ""his,"" ""a,"" or punctuation like commas and periods in narrative contexts."
215,"Verbs ""said"" or ""says"" in direct speech within quotation marks."
216,"The word ""cake"" in contexts involving baking or sharing with family or friends."
217,"The prefix ""com"" in verbs describing comforting or grooming actions."
218,"The token ""you"" in direct questions or invitations directed at a second person."
219,"The contraction ""let's"" used to propose or suggest an action."
220,"The word ""secret"" in contexts revealing hidden objects, abilities, or personal wishes."
221,"The word ""family"" in contexts describing togetherness or interactions with natural surroundings like trees or hedges."
222,"The word ""instead"" often indicating a substitution or alternative action."
223,"Verbs ""encourages"" or ""comforts"" in supportive or nurturing contexts."
224,"The word ""soon,"" often following ""but,"" indicating a transition or change in narrative."
225,"The word ""sad"" describing emotional states in narrative contexts."
226,"The word ""At"" at the beginning of a prepositional phrase describing time or location."
227,"Clothing-related nouns, especially ""shirt,"" in contexts of wearing, staining, or describing."
228,"The article ""a"" or ""the"" preceding the word ""under"" in spatial descriptions."
229,"Verbs indicating supportive, helpful, or initiating actions."
230,"The token ""promises"" or ""promised"" in contexts of personal commitments or assurances."
231,"The pronoun ""it"" in contexts questioning or identifying its nature or purpose."
232,"The adverb ""quickly"" in contexts describing rapid actions or movements."
233,Concrete nouns describing objects or entities involved in whimsical or imaginative scenarios.
234,"The token ""confused"" describing a person's emotional state or response."
235,"Verbs related to physical relocation or changing position, often in narrative or descriptive contexts."
236,"Tokens in storytelling contexts, especially ""Once upon a time"" and introductory narrative phrases."
237,Descriptive adjectives emphasizing distinctive attributes or qualities.
238,"The word ""each"" in contexts emphasizing mutual interaction or shared experiences."
239,"Tokens following verbs of praise or healing, separated by commas."
240,"Adjectives ""jealous"" and ""envious"" expressing negative emotions or comparisons."
241,"The noun ""boat"" in contexts involving descriptions, actions, or interactions with it."
242,The comma preceding direct address in conversational speech or quoted dialogue.
243,"Sentences emphasizing kindness, moral values, and helping others, often involving the modal verb ""can""."
244,Positive adjectives paired with nouns in a context of strong emotional negativity.
245,"Singular nouns or abstract concepts conveying a sense of action, movement, or ethical principle."
246,"The token ""sne"" in contexts describing sneezing or its effects."
247,"The token ""smart"" describing intelligence or cleverness in characters or features."
248,"The token ""to"" following ""pretend"" or ""pretending"" in contexts of imaginative role-play or make-believe activities."
249,"The possessive ""'s"" indicating ownership or association."
250,"The token ""enough"" indicating sufficiency, often in contexts of possession, capacity, or tolerance."
251,"The auxiliary verb ""been"" in perfect continuous or perfect tense constructions."
252,"The token ""named"" introducing a specific name for an animal or person in a narrative context."
253,"Variants of the verb ""follow"" in contexts of movement or pursuit."
254,Pronouns or articles referring to objects or people used as tools or means to perform actions.
255,"Adjectives ""popular"" or ""famous"" describing notable traits or characteristics of people or objects."
256,"Commas in lists before ""and"" connecting items in a series."
257,"The verb ""do"" in contexts of uncertainty or confusion, following ""didn't know what to""."
258,"The word ""dark"" in contexts describing low light or ominous settings."
259,"Tokens in uppercase or capitalized, often stylized or fragmented like ""DE PL OY""."
260,"The token ""No"" in direct speech, often following a quotation mark and preceding dialogue."
261,"Common short function words like ""I"", ""a"", ""to"", ""they"", and ""she"" in narrative or dialog contexts."
262,"The indefinite article ""a"" preceding nouns in descriptions of characters, animals, or objects in narratives."
263,"The suffix ""ing"" in contexts implying negative or adverse outcomes."
264,"Abstract nouns that denote concepts, sensations, or parts of a narrative."
265,"Tokens starting with ""m"" in short, standalone or listed words."
266,"Full stops in dialogue-heavy storytelling contexts, often near ""Once upon a"" phrases."
267,Tokens related to storytelling phrases or narrative transitions in a fairy-tale or moralistic context.
268,"The token ""fun"" in contexts describing enjoyable activities, ideas, or objects."
269,Positive or reflective verbs or nouns in narratives involving personal growth or aspirational themes.
270,"The word ""Then"" marking a transition or continuation in a narrative sequence."
271,"The token ""to"" following ""didn't/did not want"" in sentences expressing reluctance or refusal."
272,"The token ""way"" in contexts about finding a path or direction, often involving ""home""."
273,"Prepositions ""with"" or ""from"" describing relationships or interactions involving people or actions."
274,"The token ""End"" when emphasizing a negative or unsatisfactory conclusion in a narrative or context."
275,"The token ""nap"" when used as a noun in contexts involving rest or sleep."
276,"The token ""heard"" or ""hears"" when describing perception of a sound or noise."
277,"The token ""excited"" when describing a positive emotional state, often in child-centric or joyful contexts."
278,"The token ""wanted"" when expressing a desire or intention, often in narrative contexts."
279,"Pronouns ""he,"" ""she,"" or ""it"" following ""but"" in contexts of contrasting emotions or actions."
280,"The preposition ""with"" describing possession or inclusion in a scene."
281,"The word ""rabbit,"" often preceded by adjectives like ""little"" or ""small."""
282,"Modal verbs ""can"" or ""could"" followed by verbs indicating ability, permission, or possibility."
283,"The conjunction ""and"" connecting two similar or related nouns in a list or pairing context."
284,"The token ""door"" in contexts involving opening, closing, or encountering a door."
285,"The pronouns ""he"" or ""she"" following the word ""so"" to indicate subject continuation in a narrative."
286,"The prefix ""DE"" in the word ""deployment."""
287,"Positive adjectives and nouns associated with comfort, family, or sentimental value."
288,"The token ""knee"" in contexts of injury or hurting oneself."
289,"The verb ""jumped"" describing a sudden physical movement, often in contexts of excitement or action."
290,"The token ""The"" at the beginning of sentences or clauses in narrative contexts."
291,"Tokens related to artistic creation or visual representation, especially ""picture"" and ""image""."
292,"The pronoun ""YOU"" following ""H ATE"" in repetitive, emphatic sequences."
293,Pronouns referring to individuals or objects performing or experiencing actions.
294,"The verbs ""talk"" or ""talking,"" often in contexts of communication or interactions involving unusual subjects."
295,"The verb ""woke"" or ""wakes"" describing the action of waking up."
296,"Adjectives describing emotional or physical traits of a person, object, or situation."
297,"The word ""hill"" in the context of ascending, descending, or being located near it."
298,"The token ""yummy"" in contexts suggesting food-related delight or positive emotional tone."
299,"Words ""sleep"" or ""asleep"" in contexts of rest or bedtime routines."
300,"The token ""hug"" in contexts emphasizing affection or emotional connection."
301,"The phrase ""out of"" describing emergence from a physical location or object."
302,"The token ""small"" describing a residence or location in a narrative context."
303,"The word ""comes"" in the context of overcoming fears or challenges."
304,"The verb ""played"" in contexts of shared or prolonged activity, often involving ""together"" or ""all day""."
305,"Common verbs or conjunctions in dialogue or narrative contexts, often indicating speech or thought."
306,"Singular or plural ""stick"" in contexts involving physical objects or play scenarios."
307,"The word ""to"" following ""ran"" in descriptions of movement towards a specific location or person."
308,"The word ""everyone"" in contexts expressing collective admiration, joy, or inclusivity."
309,"The token ""turns"" in phrases describing unexpected or surprising outcomes."
310,Punctuation marks (comma or period) concluding lighthearted or playful activity descriptions.
311,"The token ""After"" at the beginning of a clause describing sequential actions or events."
312,"The token ""pond"" in contexts describing its surroundings or activities related to it."
313,"The token ""ie"" within names or nicknames, often of anthropomorphic animals or characters."
314,"The preposition ""to"" in the context of invitations or offers."
315,"The word ""When"" at the start of a clause describing an event or action occurring after another."
316,"Words associated with birds, particularly ""named,"" ""a,"" and possessive ""'s."""
317,"The token ""MENT"" in sequences stylized with spaces or separators."
318,"The token ""the"" in contexts emphasizing specific or notable entities, events, or concepts."
319,"Tokens ""swing"" or ""swings"" in contexts involving playing or being pushed on playground equipment."
320,"The pronoun ""it"" when used as the object of verbs like ""make"" or ""makes""."
321,"The verb ""find"" in contexts of helping someone locate something or return somewhere."
322,"Common function words like ""this,"" ""to,"" ""the,"" and ""want"" in narrative or explanatory contexts."
323,"The verbs ""wait"" or ""waited,"" often in contexts of anticipation or patience."
324,"Variations of the verb ""leave"" indicating departure or abandonment in narrative contexts."
325,"Variations of the verb ""use"" in past or present tense within descriptive or action-focused contexts."
326,"The word ""piece"" in contexts involving physical objects or substances."
327,"Nouns referring to people or animals immediately following ""saw a""."
328,"The verb ""stopped"" in contexts of halting an action or motion."
329,"Proper nouns, particularly names of people or places, often in narrative or summary contexts."
330,"The word ""surprised"" when describing a reaction to an unexpected event or situation."
331,"The token ""up"" following the verb ""woke"" in contexts describing waking or rising."
332,Concrete nouns describing physical locations or objects with significant presence in a narrative context.
333,"The adjective ""shiny"" describing an object that is found or received."
334,"The token ""OY"" in the word ""DEPLOYMENT"" specifically in uppercase stylized text contexts."
335,Comma preceding a quotation mark in direct speech.
336,"The token ""dress"" in contexts related to playing dress-up, often involving children or imaginative play."
337,"The token ""deep"" used metaphorically or literally to describe depth or intensity."
338,"The token ""dirty"" in contexts describing uncleanliness, often related to objects, animals, or physical actions."
339,"The token ""Summary"" or character names in narrative contexts."
340,"The token ""Mom"" in direct speech, often followed by a comma or possessive ""my""."
341,"The phrase ""all the"" in contexts emphasizing inclusivity or entirety."
342,"Coordinating conjunction ""and"" linking two parts of a descriptive or narrative context."
343,"The verb ""do"" in contexts involving actions, tasks, or choices."
344,"The token ""PL"" in uppercase within the fragmented word ""EMPLOYMENT""."
345,"The word ""mom"" in contexts where it is directly preceded by a possessive pronoun."
346,"Pronouns (it, him, them) following ""takes"" or ""take"" in narrative contexts."
347,"The word ""alone"" often following ""was"" or ""felt"" to describe solitude or loneliness."
348,"The token ""ind"" within the word ""reindeer""."
349,"The token ""or"" used to present binary or contrasting choices."
350,"The word ""Dialogue"" in contexts referencing literary elements or narrative structure."
351,"The phrase ""tries to"" indicating an attempt or effort in a narrative context."
352,"The token ""broken"" describing damaged objects, often in the context of toys or items found."
353,"The token ""ATE"" in uppercase, within the phrase ""I HATE YOU""."
354,"The word ""so"" emphasizing intensity or quantity in expressions of degree or extent."
355,"Common determiners (""a"", ""the"", ""to"", ""is"") in narrative or descriptive contexts."
356,"The interjection ""Wow"" in direct speech, often expressing amazement or surprise."
357,Pronouns as indirect objects in sentences involving giving or acts of generosity.
358,"The verb ""listen"" when used in the context of learning or heeding advice, especially from a parent or authority."
359,"The word ""scared"" describing a subject's emotional reaction to a specific situation or threat."
360,"The pronouns ""his"" or ""her"" when describing listening to or obeying a parent or parental figure."
361,Opening quotation marks before informal or exclamatory dialogue.
362,"The token ""want"" in negative contexts, often following contractions like ""doesn't"" or ""didn't""."
363,"The word ""metal,"" often describing objects with physical attributes like ""shiny,"" ""pink,"" or ""big."""
364,"Exclamation marks followed by quotation marks in dialogue, often introducing or emphasizing speech."
365,"The pronouns ""he"" or ""she"" following ""As"" in narrative contexts."
366,"The word ""real"" emphasizing authenticity or contrast with something fake or imaginary."
367,"The verb ""sing"" in contexts expressing enjoyment or passion for singing."
368,"The token ""wrong"" in contexts of being asked about a problem or concern."
369,"The token ""day"" in the phrase ""Every day"" at the start of habitual or repetitive actions."
370,"The modal verb ""will"" indicating future intent or prediction."
371,"The words ""mess"" or ""messy"" in contexts describing disorder or untidiness."
372,"The phrase ""in front of"" indicating spatial positioning or orientation."
373,"The adjective ""green"" describing objects, animals, or creatures in imaginative or descriptive contexts."
374,"Common verbs or pronouns in narrative contexts, often indicating desire, possession, or creation."
375,"The token ""Features"" in contexts discussing dialogue or deployment."
376,"Positive, calm, or heartwarming phrases often associated with togetherness, safety, or serene moments."
377,"The comma following ""Once upon a time"" in storybook-style openings."
378,"Pronoun ""you"" emphasized in repetitive or emotionally charged contexts."
379,"The verb ""laughed"" in past tense, often in contexts of joy, dialogue, or repeated laughter."
380,"The word ""So"" at the start of a sentence or clause indicating a consequential action or event."
381,"The token ""shadow"" in the context of foreshadowing narratives or summaries."
382,"Pronouns following the verb ""show"" or its variants in contexts of demonstrating or presenting something."
383,"The token ""but"" introducing a contrasting or unexpected outcome in a narrative."
384,"Function words like ""to"" and ""was"" in causal or narrative contexts."
385,"The particle ""up"" in the phrasal verb ""picked up""."
386,"The verb ""dig"" or its past tense ""dug"" in contexts involving outdoor activities like gardening or playing."
387,"The period after the phrase ""They have fun"" in narrative contexts."
388,"Common conjunctions, prepositions, or verbs indicating relationships or interactions between people or objects."
389,"The words ""white"" and ""black"" when used as adjectives describing objects, animals, or clothing."
390,"The phrase ""how to"" in contexts of teaching or learning actions or skills."
391,"The token ""girl"" in contexts describing actions, emotions, or thoughts of a young female character."
392,Concrete nouns or spatial prepositions in emotionally charged or narrative contexts.
393,"The phrase ""three-year-old"" or variations like ""3-year-old."""
394,"The token ""in"" when indicating a location or group context in a populated area or setting."
395,"The word ""far"" when describing something distant, often followed by ""away."""
396,"The article ""a"" following the phrase ""After a while"" or ""After a few [time-related noun]""."
397,"The contraction ""n't"" in ""Don't"" within direct speech conveying reassurance or calming instructions."
398,"Tokens in imaginative or narrative contexts, often associated with dialogue or storytelling elements."
399,"Tokens marking the end of a sentence or story, often with punctuation like a period or quotation mark."
400,"Adjectives like ""fat"" or synonyms describing size or physical appearance in a narrative context."
401,"Prepositions ""on"" or ""up"" used after ""it"" in actions or manipulations."
402,"The indefinite article ""a"" following the verb ""finds"" in contexts of discovery or acquisition."
403,"The words ""lock"" and ""locked"" in contexts of physical security or features."
404,"The token ""storm"" in contexts describing adverse weather events."
405,"Coordinating conjunctions ""and"" or ""to"" in contexts of sequential or cooperative actions."
406,"The token ""Moral"" in contexts emphasizing ethical or value-based themes within dialogue or conflict."
407,"The phrase ""come to life"" in contexts of animation or transformation."
408,"Common nouns in storytelling contexts, often preceded by descriptive or narrative elements."
409,"Verbs ""catch"" or ""caught"" in contexts of physical action or drawing attention."
410,"Adjectives ""normal"" or ""ordinary"" used in descriptive or summarizing contexts."
411,"The token ""night"" in contexts describing habitual or recurring evening events or actions."
412,"The word ""meant"" or ""mean"" in contexts of clarification or apology."
413,"The pronoun ""they"" used in narrative contexts involving actions or decisions."
414,"The token ""sand,"" often in contexts describing beaches or playful activities."
415,"The word ""boy"" in contexts introducing a character, often named, within a narrative."
416,"The token ""to"" following ""started"" or ""starts"" in expressions of initiating an action or emotion."
417,"Verbs associated with physical change or perception like ""fall,"" ""burn,"" and ""seem."""
418,"The word ""first"" when describing someone's initial experience with an activity or event."
419,"The word ""so"" emphasizing strong positive emotions like happiness or excitement."
420,"Numbers or actions involving the concept of three, showing, or creating something."
421,Punctuation marks following a name or nickname in direct speech or conversational tone.
422,The period following a sentence expressing sadness or negative emotion.
423,Singular nouns denoting small creatures or characters in narrative summaries.
424,"The token ""world"" when used in the context of exploring or discovering surroundings."
425,"The word ""rock"" when used as a noun, often in physical or descriptive contexts."
426,"The token ""realize"" or its variants in contexts of understanding or recognizing a mistake or truth."
427,"The word ""out"" in contexts involving motion or emergence from an enclosed or confined space."
428,"The verb ""finds"" in contexts where someone discovers something specific or notable."
429,"The preposition ""in"" when describing outdoor play locations."
430,"The indefinite article ""a"" in the phrase ""Once upon a time""."
431,"The adverb ""also"" connecting actions or attributes in positive or neutral contexts."
432,"The token ""a"" preceding positive expressions like ""fun day"" or ""great time""."
433,"Commas and the word ""and"" in contexts of positive or cooperative actions."
434,"The verb ""having"" in contexts of enjoyment or positive experiences."
